name,company_founded,industry,company_type,location,wealth_worth_in_billions,wealth_how_industry,type_of_investor,number_of_deals,portfolio_size,website,most_recent_deal
Andrei Kosogov,1989,oil,new,Europe,1.7,Energy,angel,0,0,,
Andrei Kozitsyn,1935,mining,privatization,Europe,1.9,Mining and metals,angel,0,0,,
Andrei Kuzyaev,1991,telecom,new,Europe,1.2,Media,angel,0,0,,
Andrei Molchanov,1993,real estate,privatization,Europe,1.3,Constrution,angel,0,0,,
Andrei Rappoport,1991,investments,aquired,Europe,1.1,Diversified financial,angel,0,0,,
Arthur Irving,1924,oil,new,North America,5.5,Energy,angel,0,0,,
Andrei Skoch,1999,mining,new,Europe,8.2,Non-consumer industrial,angel,0,0,,
Andrew Beal,1988,real estate/banking,new,North America,10.9,Money Management,angel,0,0,,
Roberto Marinho,1925,media,new,Latin America,9.1,Media,angel,0,0,,
Andrew Cherng,1973,restaurant,new,North America,1.4,"Retail, Restaurant",angel,0,0,,
Andrew Forrest,2003,iron ore,new,North America,5.2,Mining and metals,angel,0,0,,
Andrew Gotianun,1955,real estate,new,East Asia,1,Real Estate,angel,0,0,,
Andrew Tan,1993,"real estate, retail",new,East Asia,4.7,Diversified financial,angel,0,0,,
Andrey Melnichenko,1993,banking,new,Europe,11.4,Energy,angel,0,0,,
Aneel Bhusri,1965,venture capitalist,new,North America,1.3,Technology-Computer,angel,0,0,,
Angela Bennett,1955,mining,new,North America,1,Mining and metals,angel,0,0,,
Angela Leong,1962,real estate,new,East Asia,2.8,Real Estate,angel,0,0,,
Anil Agarwal,1986,metals and mining,new,South Asia,2.9,Mining and metals,angel,0,0,,
Anil Ambani,1980,textiles,new,South Asia,5,Diversified financial,angel,0,0,,
Anita Zucker,1670,retail,privatization,North America,2.6,Non-consumer industrial,angel,0,0,,
Ann Walton Kroenke,1962,retail,new,North America,4.8,"Retail, Restaurant",angel,0,0,,
Anne Beaufour,1929,pharmaceuticals,new,Europe,1,Technology-Medical,angel,0,0,,
Anne Cox Chambers,1898,media,aquired,North America,15.5,Media,angel,0,0,,
Anne Gittinger,1901,retail,new,North America,1.4,"Retail, Restaurant",angel,0,0,,
Anthony Bamford,1945,"heavy equiptment (excavators, backhoes and tractors)",new,Europe,4.1,Constrution,angel,0,0,,
Anthony Pratt,1948,paper,new,North America,3,Consumer,angel,0,0,,
