investor_id,name,location,type,most_recent_deal,number_of_deals,portfolio_size,city,state,country,website,industry,lat,lon
2031,AlphaLab,Pittsburgh,accelerator,2016-01-25,0,0,Pittsburgh,PA,USA,alphalab.org,food & beverages,40.4416941,-79.9900861
12982,William Morris Endeavor (WME),Los Angeles,strategic,2015-11-19,0,0,Beverly Hills,CA,USA,wmeentertainment.com,food & beverages,34.0696501,-118.3963062
21147,Causeway Media Partners,Boston,vc,2020-09-16,0,0,Boston,MA,USA,causewaymp.com,food & beverages,42.3602534,-71.0582912
464,Chris Sacca,Sacramento,angel,2016-05-02,0,0,Truckee,CA,USA,angel.co/sacca,food & beverages,39.327962,-120.1832533
1292,Catamount Ventures,Bay Area,vc,2020-05-19,0,0,San Francisco,CA,USA,catamountventures.com,food & beverages,37.7790262,-122.4199061
8274,Scott Cook,Atlanta,angel,2020-03-10,0,0,Atlanta,GA,USA,angel.co/scott-cook,food & beverages,33.7490987,-84.3901849
2916,OrbiMed Advisors,New York,vc,2020-09-23,226,155,New York,NY,USA,orbimed.com,food & beverages,40.7127281,-74.0060152
1785,Georgian Partners,Toronto,vc,2017-12-21,0,0,Toronto,CAN-ON,CAN,georgianpartners.com,food & beverages,43.6913544,-79.5006666
8281,BLH Venture Partners,Atlanta,vc,2017-03-20,0,0,Atlanta,GA,USA,blhventures.com,food & beverages,33.7490987,-84.3901849
1641,Fabrice Grinda,New York,angel,2020-02-17,0,0,New York,NY,USA,angel.co/fabrice,food & beverages,40.7127281,-74.0060152
1747,VentureTech Alliance,Bay Area,vc,2014-02-12,0,0,San Jose,CA,USA,vtalliance.com,food & beverages,37.3361905,-121.890583
1918,Braemar Energy Ventures,New York,vc,2018-11-28,0,0,New York,NY,USA,braemarenergy.com,food & beverages,40.7127281,-74.0060152
356,Relay Ventures,Bay Area,vc,2018-06-21,0,0,Menlo Park,CA,USA,relayventures.com,food & beverages,37.4519671,-122.1779927
9291,Duchossois Technology Partners,Chicago,vc,2014-11-12,0,0,Elmhurst,IL,USA,dcmllc.com,food & beverages,41.8994745,-87.9403418
849,New World Ventures,USA,vc,2012-12-13,0,0,Chicago,IL,USA,pritzkergroup.com,food & beverages,41.8755616,-87.6244212
23458,FinSight Ventures,New York,vc,2017-12-14,0,0,New York,NY,USA,finsightvc.com,food & beverages,40.7127281,-74.0060152
1499,Great Hill Partners,Boston,vc,2020-04-28,0,0,Boston,MA,USA,greathillpartners.com,food & beverages,42.3602534,-71.0582912
1843,Dave Morgan,New York,angel,2015-02-18,0,0,New York,NY,USA,angel.co/davemorgannyc,food & beverages,40.7127281,-74.0060152
623,Granite Ventures,Bay Area,vc,2020-05-28,0,0,San Francisco,CA,USA,granitevc.com,food & beverages,37.7790262,-122.4199061
2719,Capital Factory,Austin,vc,2020-05-06,0,0,Austin,TX,USA,capitalfactory.com,food & beverages,30.2711286,-97.7436995
8705,Benjamin Ling,Bay Area,angel,2015-10-14,0,0,San Francisco,CA,USA,angel.co/bling0,food & beverages,37.7790262,-122.4199061
969,Bee Partners,Bay Area,vc,2020-05-04,0,0,San Francisco,CA,USA,beepartners.vc,food & beverages,37.7790262,-122.4199061
724,Paladin Capital Group,Washington D.C.,vc,2020-08-04,0,0,Washington D.C.,DC,USA,paladincapgroup.com,food & beverages,38.8949924,-77.0365581
1456,ONSET Ventures,Bay Area,vc,2016-01-28,0,0,Menlo Park,CA,USA,onset.com,food & beverages,37.4519671,-122.1779927
6317,Grail Partners,Boston,vc,2014-12-17,0,0,Boston,MA,USA,grailpartners.com,food & beverages,42.3602534,-71.0582912
452,DFJ Frontier,Los Angeles,vc,2020-07-30,0,0,Beverly Hills,CA,USA,dfjfrontier.com,food & beverages,34.0696501,-118.3963062
2271,Silverton Partners,Austin,vc,2020-07-23,0,0,Austin,TX,USA,silvertonpartners.com,food & beverages,30.2711286,-97.7436995
11624,Sam Decker,Austin,angel,2014-10-29,0,0,Austin,TX,USA,angel.co/samdecker,food & beverages,30.2711286,-97.7436995
3382,K5 Ventures,Los Angeles,vc,2016-03-28,0,0,Newport Beach,CA,USA,k5ventures.com,food & beverages,33.6170092,-117.9294401
8161,First Step Fund,Detroit,vc,2016-08-09,0,0,Detroit,MI,USA,investdetroit.com,food & beverages,42.3315509,-83.0466403
11826,Chrysalix EVC,Vancouver,vc,2020-09-04,0,0,Vancouver,CAN-BC,CAN,chrysalixevc.com,food & beverages,49.1566925,-122.7740237
11871,MissionOG,Philadelphia,vc,2020-07-07,0,0,Philadelphia,PA,USA,missionog.com,food & beverages,39.9527237,-75.1635262
1033,Lerer Ventures,New York,vc,2018-01-08,0,0,New York,NY,USA,lererventures.com,food & beverages,40.7127281,-74.0060152
1836,Verizon Ventures,New York,vc,2018-12-12,0,0,Basking Ridge,NJ,USA,verizonventures.com,food & beverages,40.7064088,-74.5492725
4575,bm-t,Erfurt-bindersleben,vc,2015-12-17,0,0,Erfurt-bindersleben,,DEU,bm-t.de,food & beverages,50.9743761,10.9496467
262,Trident Capital,Bay Area,vc,2017-12-06,174,101,Palo Alto,CA,USA,tridentcap.com,food & beverages,37.4443293,-122.1598465
16218,Founders Den,Bay Area,accelerator,2013-06-01,0,0,San Francisco,CA,USA,foundersden.com,food & beverages,37.7790262,-122.4199061
8868,Philip Rosedale,Bay Area,angel,2015-12-17,0,0,San Francisco,CA,USA,angel.co/philip-rosedale,food & beverages,37.7790262,-122.4199061
1026,Silver Creek Ventures,Dallas,vc,2018-07-18,0,0,Dallas,TX,USA,silvercreekfund.com,food & beverages,32.7762719,-96.7968559
9335,David Calone,New York,angel,2014-01-15,0,0,New York,NY,USA,angel.co/david-calone,food & beverages,40.7127281,-74.0060152
2682,Jonathan Heiliger,Bay Area,angel,2015-11-17,0,0,Palo Alto,CA,USA,angel.co/jh,food & beverages,37.4443293,-122.1598465
10359,Scrum Ventures,Bay Area,vc,2019-12-12,0,0,San Francisco,CA,USA,scrumventures.co,food & beverages,37.7790262,-122.4199061
12336,David Vivero,Bay Area,angel,2013-10-08,0,0,San Francisco,CA,USA,angel.co/davidvivero,food & beverages,37.7790262,-122.4199061
9102,MuckerLab,Los Angeles,accelerator,2015-11-30,0,0,Santa Monica,CA,USA,muckerlab.com,food & beverages,34.0194704,-118.4912273
7257,Justin Kitch,Bay Area,angel,2013-07-15,0,0,Palo Alto,CA,USA,angel.co/justin-kitch,food & beverages,37.4443293,-122.1598465
12350,Jere Doyle,Boston,angel,2020-05-19,0,0,Boston,MA,USA,angel.co/jere-doyle,food & beverages,42.3602534,-71.0582912
8356,Wayne Chang,Boston,angel,2016-11-29,0,0,Boston,MA,USA,angel.co/wayne,food & beverages,42.3602534,-71.0582912
20834,eonCapital,Centennial,vc,2020-07-29,0,0,Centennial,CO,USA,eoncapital.com,food & beverages,39.5680644,-104.9778308
609,VantagePoint Capital Partners,Bay Area,vc,2019-01-03,178,118,San Bruno,CA,USA,vpcp.com,food & beverages,37.6261715,-122.4332435
19034,Delta-v Capital,Milwaukee,vc,2020-04-08,0,0,Denver,CO,USA,deltavcapital.com,food & beverages,39.7392364,-104.9848623
3298,I2A Fund,Chicago,vc,2016-06-07,0,0,Chicago,IL,USA,i2afund.com,food & beverages,41.8755616,-87.6244212
21337,Iron Gate Capital,Boulder,vc,2019-11-13,0,0,Boulder,CO,USA,irongatecapital.com,food & beverages,40.0149856,-105.2705456
13029,Rally Ventures (formerly Icon Venture Partners),Bay Area,vc,2020-03-11,0,0,Menlo Park,CA,USA,rallyventures.com,food & beverages,37.4519671,-122.1779927
17432,Burch Creative Capital,New York,vc,2017-10-18,0,0,New York,NY,USA,burchcreativecapital.com,food & beverages,40.7127281,-74.0060152
2512,Scott Belsky,New York,angel,2020-09-22,0,0,New York,NY,USA,angel.co/joe-lonsdale,food & beverages,40.7127281,-74.0060152
6975,Columbia Partners Private Capital,Chevy Chase,vc,2020-02-20,0,0,Chevy Chase,MD,USA,columbiaptrs.com,food & beverages,38.9822473,-77.0881873
6639,Jay Gould,New York,angel,2013-03-22,0,0,Toms River,NJ,USA,angel.co/jaygould,food & beverages,39.9537359,-74.1979576
3476,Delphi Ventures,Bay Area,vc,2019-01-09,0,0,Menlo Park,CA,USA,delphiventures.com,food & beverages,37.4519671,-122.1779927
91,Palomar Ventures,Los Angeles,vc,2013-07-08,0,0,Santa Monica,CA,USA,palomarventures.com,food & beverages,34.0194704,-118.4912273
3438,Mark Wachen,New York,angel,2014-12-22,0,0,New York,NY,USA,angel.co/markwachen,food & beverages,40.7127281,-74.0060152
5737,Sam Lessin,Bay Area,angel,2016-02-03,0,0,San Francisco,CA,USA,angel.co/lessin,food & beverages,37.7790262,-122.4199061
2714,Harbert Management Corporation,Birmingham,vc,2018-02-26,0,0,Birmingham,AL,USA,harbert.net,food & beverages,33.5206824,-86.8024326
11941,Adam Ross,Milwaukee,angel,2015-07-15,0,0,Denver,CO,USA,angel.co/adam-ross-1,food & beverages,39.7392364,-104.9848623
2529,Mark Suster,Los Angeles,angel,2015-04-07,0,0,Los Angeles,CA,USA,angel.co/msuster,food & beverages,34.0536909,-118.242766
5150,John Pestana,Salt Lake City,angel,2011-05-19,0,0,Provo,UT,USA,angel.co/john-pestana,food & beverages,40.2338438,-111.6585337
15277,CircleUp,Bay Area,other,2018-05-15,0,0,San Francisco,CA,USA,circleup.com,food & beverages,37.7790262,-122.4199061
2269,Nicholas Negroponte,Boston,angel,2018-03-06,0,0,Boston,MA,USA,angel.co/nicholas-negroponte,food & beverages,42.3602534,-71.0582912
5441,Salil Deshpande,Bay Area,angel,2017-12-19,0,0,Palo Alto,CA,USA,angel.co/salil,food & beverages,37.4443293,-122.1598465
18290,ClearBridge Investments,New York,vc,2015-10-08,0,0,New York,NY,USA,clearbridge.com,food & beverages,40.7127281,-74.0060152
8438,Ty Danco,Burlington,angel,2018-01-08,0,0,Burlington,VT,USA,angel.co/tydanco,food & beverages,44.4762975,-73.2135472
161,MPM Capital,Boston,vc,2020-08-10,0,0,Boston,MA,USA,mpmcapital.com,food & beverages,42.3602534,-71.0582912
1069,Christoph Janz,Bay Area,angel,2017-04-05,0,0,San Francisco,CA,USA,angel.co/chrija,food & beverages,37.7790262,-122.4199061
7271,Ted Rheingold,Bay Area,angel,2014-12-16,0,0,San Francisco,CA,USA,angel.co/trheingold,food & beverages,37.7790262,-122.4199061
13531,USAA,San Antonio,other,2018-08-21,0,0,San Antonio,TX,USA,usaa.com,food & beverages,29.4246002,-98.4951405
5232,Joshua Kushner,New York,angel,2019-12-18,0,0,New York,NY,USA,angel.co/joshuakushner,food & beverages,40.7127281,-74.0060152
1071,Peter Bordes,New York,angel,2011-12-20,0,0,New York,NY,USA,angel.co/peter-bordes,food & beverages,40.7127281,-74.0060152
1665,Radical Investments,Dallas,vc,2018-06-05,0,0,Dallas,TX,USA,radicalinvestments.in,food & beverages,32.7762719,-96.7968559
933,Highway 12 Ventures,Boise,vc,2015-03-24,0,0,Boise,ID,USA,highway12ventures.com,food & beverages,43.6166163,-116.200886
11554,CHV Capital,St. Louis,vc,2015-10-02,0,0,Indianapolis,IN,USA,chvcapital.com,food & beverages,39.7683331,-86.1583502
7668,Evan Williams,Bay Area,angel,2016-10-20,0,0,San Francisco,CA,USA,angel.co/ev,food & beverages,37.7790262,-122.4199061
8623,George Kliavkoff,New York,angel,2012-10-15,0,0,New York,NY,USA,angel.co/kliavkoff,food & beverages,40.7127281,-74.0060152
1615,Shan Mehta,Bay Area,angel,2015-02-25,0,0,San Francisco,CA,USA,angel.co/shan-mehta,food & beverages,37.7790262,-122.4199061
