name,company_founded,industry,company_type,location,wealth_worth_in_billions,wealth_how_industry,type_of_investor,number_of_deals,portfolio_size,website,most_recent_deal
Target Partners,,food & beverages,,Munich,,,vc,0,0,targetpartners.de,2018-12-10
Bennett Dorrance,1869,soup,aquired,North America,2,Consumer,angel,,,,
Bent Jensen,1907,linear actuators,new,Europe,1,Technology-Computer,angel,,,,
Benu Gopal Bangur,1918,cement,new,South Asia,1.6,Constrution,angel,,,,
Beny Steinmetz,1940,diamonds,new,Middle East/North Africa,4.1,Mining and metals,angel,,,,
Bergit Douglas,1891,retail,new,Europe,1.7,Consumer,angel,,,,
Bernard (Barry) Sherman,1959,pharmaceuticals,new,North America,3.9,Technology-Medical,angel,,,,
Bernard Arnault,1987,luxury goods,acquired,Europe,33.5,Consumer,angel,,,,
Bernard Broermann,1984,hospitals,new,Europe,2.8,Technology-Medical,angel,,,,
Bernard Ecclestone,1978,racing,aquired,Europe,4.2,Other,angel,,,,
Bernard Marcus,1979,home improvement retail,new,North America,3.5,"Retail, Restaurant",angel,,,,
"Bernard Saul, II.",1899,mortgage banking,new,North America,2.3,Money Management,angel,,,,
Bernardo Matte,1920,timber and paper,new,Latin America,2.5,Consumer,angel,,,,
Bernd Freier,1969,fashion,new,Europe,2.5,"Retail, Restaurant",angel,,,,
Bertil Hult,1977,"education, language schools",new,Europe,4,Other,angel,,,,
Bharat Desai,1980,IT Consulting,new,North America,2.4,"Retail, Restaurant",angel,,,,
Bidzina Ivanishvili,1990,metals/banking,new,Europe,5.2,Diversified financial,angel,,,,
Bill Gates,1975, Software,new,North America,76,Technology-Computer,angel,,,,
Bill Gross,1971,mutual funds,new,North America,2.3,Diversified financial,angel,,,,
"Bill Marriott, Jr.",1927,hotels,new,North America,2.2,Real Estate,angel,,,,
Billy Joe (Red) McCombs,1953,"auto sales, energy",new,North America,1.4,Real Estate,angel,,,,
Binod Chaudhary,1970,retail,new,South Asia,1.1,Diversified financial,angel,,,,
Blair Parry-Okeden,1898,media,aquired,North America,7.7,Media,angel,,,,
Bob Parsons,1997,internet domain and web hosting,new,North America,1.9,Technology-Computer,angel,,,,
Boris Mints,2010,real estate,new,Europe,1,Real Estate,angel,,,,
Boris Rotenberg,1930,construction,"new, privitization",Europe,1.7,Constrution,angel,,,,
Brad Kelley,1991,tobacco,new,North America,2,Consumer,angel,,,,
Brian Acton,2009,software,new,North America,3,Technology-Computer,angel,,,,
Brian Higgins,1995,hedge funds,new,North America,1,Hedge funds,angel,,,,
Brian Roberts,1969,media,new,North America,1.2,Media,angel,,,,
Brij Bhushan Singal,1987,steel,new,South Asia,1.2,Non-consumer industrial,angel,,,,
Brijmohan Lall Munjal,1947,bicycles,new,South Asia,2.4,Consumer,angel,,,,
Bruce Cheng,1971,electronics,new,East Asia,1.3,Technology-Computer,angel,,,,
Bruce Halle,1960,retail,new,North America,5,Consumer,angel,,,,
Bruce Karsh,1995,asset management,new,North America,2,Private equity/leveraged buyout,angel,,,,
Bruce Kovner,1983,commodities trading,new,North America,4.8,Hedge funds,angel,,,,
Bruce Nordstrom,1901,retail,new,North America,1.3,"Retail, Restaurant",angel,,,,
Brunello Cucinelli,1978,fashion,new,Europe,1.3,Consumer,angel,,,,
Bruno Schroder,1800,banking,new,Europe,5.5,Money Management,angel,,,,
Bulat Utemuratov,1995,banking,new,South Asia,2.2,Mining and metals,angel,,,,
Bulent Eczacibasi,1942,pharmaceuticals,new,Middle East/North Africa,1.5,Technology-Medical,angel,,,,
C. Dean Metropoulos,1990,private equity,new,North America,1.3,Diversified financial,angel,,,,
C. James Koch,1984,beer,new,North America,1,Consumer,angel,,,,
Cai Dongqing,1999,animation,new,East Asia,2,Technology-Computer,angel,,,,
Cai Kui,1995,real estate,new,East Asia,2.3,Real Estate,angel,,,,
Cao Kejian,1956,air compressors,privatization,East Asia,1.6,Non-consumer industrial,angel,,,,
Caprotti Bernardo,1957,groceries,new,Europe,2.3,"Retail, Restaurant",angel,,,,
Tom Ryan,,food & beverages,,Los Angeles,,,angel,0,0,angel.co/thomasryan,2016-02-03
Anupam Mittal,,food & beverages,,Mumbai,,,angel,0,0,angel.co/anupam-mittal,2020-05-12
Amol Sarva,,food & beverages,,New York,,,angel,0,0,angel.co/amol,2016-01-16
Carl Bennet,1989,investments,new,Europe,2,Diversified financial,angel,,,,
Carl Ferdinand Oetker,1891,retail,new,Europe,1.7,Consumer,angel,,,,
Carl Icahn,1968,investment (via holding company),new,North America,24.5,Diversified financial,angel,,,,
Carlo Fidani,1948,construction,new,North America,2,Real Estate,angel,,,,
Carlos Alberto Sicupira,1999,investment banking/beer,aquired,Latin America,8.9,Consumer,angel,,,,
Carlos and Alejandro Bulgheroni,1948,oil,new,Latin America,5.5,Energy,angel,,,,
Expansion Venture Capital,,food & beverages,,New York,,,vc,0,0,expansionvc.com,2018-01-10
