,investor_id,name,location,type,most_recent_deal,number_of_deals,portfolio_size,city,state,country,website,industry
24,1499,Great Hill Partners,Boston,vc,2020-04-28,0,0,Boston,MA,USA,greathillpartners.com,food & beverages
26,1019,Target Partners,Munich,vc,2018-12-10,0,0,Munich,,DEU,targetpartners.de,food & beverages
28,21109,Toba Capital,Bay Area,vc,2020-09-03,0,0,San Francisco,CA,USA,tobacapital.com,food & beverages
35,10227,Larry Marshall,Bay Area,angel,2012-06-01,0,0,San Francisco,CA,USA,,food & beverages
36,6646,Paolo Barberis,Florence,angel,2013-09-30,0,0,Florence,,ITA,angel.co/paolo-barberis,food & beverages
37,13079,United Ventures,Milan,vc,2020-07-27,0,0,Milan,,ITA,unitedventures.it,food & beverages
39,4955,Joanne Wilson,New York,angel,2017-04-12,0,0,New York,NY,USA,angel.co/thegothamgal,food & beverages
49,10948,David Helgason,Bay Area,angel,2020-04-03,0,0,San Francisco,CA,USA,,food & beverages
0,6552,Idan Cohen,New York,angel,2011-11-02,0,0,New York,NY,USA,,food & beverages
1,539,Mousse Partners,New York,vc,2020-07-10,0,0,New York,NY,USA,,food & beverages
5,6540,Steve Newcomb,Bay Area,angel,2009-12-15,0,0,San Francisco,CA,USA,,food & beverages
10,313,T-Venture,Bonn,vc,2019-01-07,0,0,Bonn,,DEU,t-venture.com,food & beverages
11,13598,Deutsche Telekom,Göttingen,strategic,2020-07-28,0,0,Göttingen,,DEU,telekom.de,food & beverages
16,7346,Kibo Ventures,Madrid,vc,2020-07-23,0,0,Madrid,,ESP,kiboventures.com,food & beverages
19,1456,ONSET Ventures,Bay Area,vc,2016-01-28,0,0,Menlo Park,CA,USA,onset.com,food & beverages
20,6317,Grail Partners,Boston,vc,2014-12-17,0,0,Boston,MA,USA,grailpartners.com,food & beverages
28,452,DFJ Frontier,Los Angeles,vc,2020-07-30,0,0,Beverly Hills,CA,USA,dfjfrontier.com,food & beverages
30,2409,Chamath Palihapitiya,Bay Area,angel,2015-12-03,0,0,Palo Alto,CA,USA,angel.co/chamath-palihapitiya,food & beverages
33,2271,Silverton Partners,Austin,vc,2020-07-23,0,0,Austin,TX,USA,silvertonpartners.com,food & beverages
34,11624,Sam Decker,Austin,angel,2014-10-29,0,0,Austin,TX,USA,angel.co/samdecker,food & beverages
36,3382,K5 Ventures,Los Angeles,vc,2016-03-28,0,0,Newport Beach,CA,USA,k5ventures.com,food & beverages
37,7694,Huron River Ventures,Detroit,vc,2018-01-09,0,0,Ann Arbor,MI,USA,huronrivervc.com,food & beverages
38,7771,Konstantin Othmer,Los Altos Hills,angel,2015-03-19,0,0,Los Altos Hills,CA,USA,,food & beverages
39,8161,First Step Fund,Detroit,vc,2016-08-09,0,0,Detroit,MI,USA,investdetroit.com,food & beverages
41,16179,Pascal Manchon,Paris,angel,2012-09-01,0,0,Paris,,FRA,,food & beverages
42,11826,Chrysalix EVC,Vancouver,vc,2020-09-04,0,0,Vancouver,CAN-BC,CAN,chrysalixevc.com,food & beverages
44,11871,MissionOG,Philadelphia,vc,2020-07-07,0,0,Philadelphia,PA,USA,missionog.com,food & beverages
46,3647,Partners Innovation Fund,Boston,vc,2020-04-27,0,0,Boston,MA,USA,,food & beverages
49,212,DFJ Growth,Bay Area,vc,2020-07-21,0,0,Menlo Park,CA,USA,dfjgrowth.com,food & beverages
0,609,VantagePoint Capital Partners,Bay Area,vc,2019-01-03,178,118,San Bruno,CA,USA,vpcp.com,food & beverages
2,12487,HAXLR8R,Shenzhen,accelerator,2015-05-11,0,0,Shenzhen,,CHN,haxlr8r.com,food & beverages
3,3313,MMC Ventures,London,vc,2020-06-22,0,0,London,,GBR,mmcventures.com,food & beverages
7,19034,Delta-v Capital,Milwaukee,vc,2020-04-08,0,0,Denver,CO,USA,deltavcapital.com,food & beverages
8,3298,I2A Fund,Chicago,vc,2016-06-07,0,0,Chicago,IL,USA,i2afund.com,food & beverages
15,8868,Philip Rosedale,Bay Area,angel,2015-12-17,0,0,San Francisco,CA,USA,angel.co/philip-rosedale,food & beverages
19,1026,Silver Creek Ventures,Dallas,vc,2018-07-18,0,0,Dallas,TX,USA,silvercreekfund.com,food & beverages
20,25175,Beta Angels,London,vc,2015-03-24,0,0,London,,GBR,beta-angels.com,food & beverages
21,15013,ZhenFund,Beijing,vc,2020-07-20,0,0,Beijing,,CHN,zhenfund.com,food & beverages
23,9335,David Calone,New York,angel,2014-01-15,0,0,New York,NY,USA,angel.co/david-calone,food & beverages
24,10183,Thomas Wisniewski,New York,angel,2012-10-31,0,0,New York,NY,USA,,food & beverages
